# map_input.txt — Ground-truth building map
# Format: x,y,z,status  (grid indices; status 1=occupied)
# This is a simple rectangular room 200x200 cm, height 60 cm,
# with one internal pillar, meant as a basic test scenario.
#
# Coordinate convention:
#   X: 0..200 cm  (grid 0..200)
#   Y: 0..200 cm  (grid 0..200)
#   Z: 0..60 cm   (grid 0..60)
#
# Floor: z=0, full XY extent
# Ceiling: z=60, full XY extent
# West wall:  x=0,   y=0..200, z=1..59
# East wall:  x=200, y=0..200, z=1..59
# South wall: y=0,   x=0..200, z=1..59
# North wall: y=200, x=0..200, z=1..59
# Pillar:     x=70..80, y=70..80, z=0..59

# --- Floor (z=0) ---
0,0,0,1
10,0,0,1
20,0,0,1
30,0,0,1
40,0,0,1
50,0,0,1
60,0,0,1
70,0,0,1
80,0,0,1
90,0,0,1
100,0,0,1
110,0,0,1
120,0,0,1
130,0,0,1
140,0,0,1
150,0,0,1
160,0,0,1
170,0,0,1
180,0,0,1
190,0,0,1
200,0,0,1
0,50,0,1
0,100,0,1
0,150,0,1
0,200,0,1
100,100,0,1
100,200,0,1
200,100,0,1
200,200,0,1

# --- Ceiling (z=60) ---
0,0,60,1
100,0,60,1
200,0,60,1
0,100,60,1
100,100,60,1
200,100,60,1
0,200,60,1
100,200,60,1
200,200,60,1

# --- West wall (x=0) ---
0,0,1,1
0,0,10,1
0,0,20,1
0,0,30,1
0,0,40,1
0,0,50,1
0,50,1,1
0,50,10,1
0,50,20,1
0,50,30,1
0,50,40,1
0,50,50,1
0,100,1,1
0,100,10,1
0,100,20,1
0,100,30,1
0,100,40,1
0,100,50,1
0,150,1,1
0,150,10,1
0,150,20,1
0,150,30,1
0,150,40,1
0,150,50,1
0,200,1,1
0,200,10,1
0,200,20,1
0,200,30,1
0,200,40,1
0,200,50,1

# --- East wall (x=200) ---
200,0,1,1
200,0,10,1
200,0,20,1
200,0,30,1
200,0,40,1
200,0,50,1
200,50,1,1
200,50,10,1
200,50,20,1
200,50,30,1
200,50,40,1
200,50,50,1
200,100,1,1
200,100,10,1
200,100,20,1
200,100,30,1
200,100,40,1
200,100,50,1
200,150,1,1
200,150,10,1
200,150,20,1
200,150,30,1
200,150,40,1
200,150,50,1
200,200,1,1
200,200,10,1
200,200,20,1
200,200,30,1
200,200,40,1
200,200,50,1

# --- South wall (y=0) ---
10,0,1,1
10,0,10,1
10,0,20,1
10,0,30,1
10,0,40,1
10,0,50,1
50,0,1,1
50,0,10,1
50,0,20,1
50,0,30,1
50,0,40,1
50,0,50,1
100,0,1,1
100,0,10,1
100,0,20,1
100,0,30,1
100,0,40,1
100,0,50,1
150,0,1,1
150,0,10,1
150,0,20,1
150,0,30,1
150,0,40,1
150,0,50,1

# --- North wall (y=200) ---
10,200,1,1
10,200,10,1
10,200,20,1
10,200,30,1
10,200,40,1
10,200,50,1
50,200,1,1
50,200,10,1
50,200,20,1
50,200,30,1
50,200,40,1
50,200,50,1
100,200,1,1
100,200,10,1
100,200,20,1
100,200,30,1
100,200,40,1
100,200,50,1
150,200,1,1
150,200,10,1
150,200,20,1
150,200,30,1
150,200,40,1
150,200,50,1

# --- Internal pillar (x=70..80, y=70..80, z=0..55) ---
70,70,0,1
70,70,10,1
70,70,20,1
70,70,30,1
70,70,40,1
70,70,50,1
75,70,0,1
75,70,10,1
75,70,20,1
75,70,30,1
75,70,40,1
75,70,50,1
80,70,0,1
80,70,10,1
80,70,20,1
80,70,30,1
80,70,40,1
80,70,50,1
70,75,0,1
70,75,10,1
70,75,20,1
70,75,30,1
70,75,40,1
70,75,50,1
80,75,0,1
80,75,10,1
80,75,20,1
80,75,30,1
80,75,40,1
80,75,50,1
70,80,0,1
70,80,10,1
70,80,20,1
70,80,30,1
70,80,40,1
70,80,50,1
75,80,0,1
75,80,10,1
75,80,20,1
75,80,30,1
75,80,40,1
75,80,50,1
80,80,0,1
80,80,10,1
80,80,20,1
80,80,30,1
80,80,40,1
80,80,50,1
